No	Eng	Kor
26	I always double-check my school bag before going to sleep at night. 	 나는 밤에 잠들기 전에 항상 책가방을 다시 한번 확인해.
27	I learned that honey never spoils if it is stored in an airtight container. 	 밀폐 용기에 보관하면 꿀은 절대 상하지 않는다는 것을 배웠어.
28	Do you know where I put my blue baseball cap? 	 내 파란색 야구 모자 어디 뒀는지 알아?
29	We should encourage each other whenever someone faces a difficult challenge. 	 누군가가 어려운 도전에 직면할 때마다 우리는 서로를 격려해야 해.
30	Can you explain why leaves change color and fall to the ground during autumn? 	 가을에 나뭇잎 색이 변하고 땅에 떨어지는 이유를 설명해 줄 수 있어?
31	I always pack an extra pair of socks in my bag when I travel. 	 나는 여행할 때 항상 가방에 여분의 양말 한 켤레를 챙겨.
32	It takes a lot of practice and dedication to master skateboarding tricks. 	 스케이트보드 기술을 익히려면 많은 연습과 노력이 필요해.
33	We observed how different materials either sink or float in a bucket of water. 	 우리는 여러 가지 물질이 물통 속에서 가라앉거나 뜨는 현상을 관찰했어.
34	I learned that plants need sunlight, carbon dioxide, and water to grow healthy. 	 식물이 건강하게 자라려면 햇빛, 이산화탄소, 물이 필요하다는 것을 배웠어.
35	You should always brush your teeth twice a day to maintain healthy gums. 	 건강한 잇몸을 유지하기 위해 하루에 두 번씩 꼭 이를 닦아야 해.
36	Let's compare the prices of these two backpacks before making a final decision. 	 최종 결정을 내리기 전에 이 두 배낭의 가격을 비교해 보자.
37	The local animal shelter provides medical care for injured stray pets. 	 지역 동물 보호소는 다친 유기 동물들에게 의료 서비스를 제공해.
38	Can you check if the oven is turned off completely? 	 오븐이 완전히 꺼졌는지 확인해 줄래?
39	I managed to assemble the new bookshelf following the instruction manual. 	 설명서를 따라 차근차근 조립해서 마침내 새 책장을 완성했어.
40	Always make sure to lock the front door properly whenever you leave home. 	 집을 나설 때는 항상 현관문이 제대로 잠겼는지 확인해.
41	Let's clean the dirty whiteboard using a soft eraser and board spray. 	 부드러운 지우개와 보드 클리너를 사용해서 더러워진 화이트보드를 닦자.
42	Please hand me that roll of clear tape on the desk. 	 책상 위에 있는 투명 테이프 한 롤만 건네줄래?
43	It takes patience and steady focus to assemble complicated puzzle pieces. 	 복잡한 퍼즐 조각들을 맞추려면 인내심과 꾸준한 집중력이 필요해.
44	I usually eat a bowl of warm oatmeal topped with fresh blueberries for breakfast. 	 아침으로 신선한 블루베리를 얹은 따뜻한 오트밀 한 그릇을 주로 먹어.
45	Always remember to unplug electrical appliances when they are not in active use. 	 가전제품을 사용하지 않을 때는 항상 플러그를 뽑아두는 것을 기억해.
46	Could you show me how to tie a firm knot that will not come loose? 	 풀리지 않는 단단한 매듭을 어떻게 묶는지 보여줄 수 있어?
47	Can you help me find the other half of this jigsaw puzzle? 	 이 직소 퍼즐의 나머지 반쪽 찾는 것 좀 도와줄래?
48	Can you show me the video that you took at the zoo yesterday? 	 어제 동물원에서 찍은 동영상 좀 보여줄래?
49	Can you help me move this heavy cardboard box to the storage room? 	 이 무거운 종이 상자를 창고로 옮기는 것 좀 도와줄래?
50	It is essential to maintain good posture while sitting at a study desk. 	 공부 책상에 앉아 있는 동안 바른 자세를 유지하는 것은 필수적이야.
51	I always wash my hands with warm water and soap before every single meal. 	 나는 매 식사 전에 항상 따뜻한 물과 비누로 손을 씻어.
52	Can you explain the main difference between solid, liquid, and gas? 	 고체, 액체, 기체의 주요 차이점을 설명해 줄 수 있어?
53	Can you hand me the remote control from the coffee table? 	 탁자 위에 있는 리모컨 좀 건네줄래?
54	It is important to conserve water by turning off the tap while brushing your teeth. 	 양치하는 동안 수도꼭지를 잠가서 물을 절약하는 것은 중요해.
55	Can you summarize the plot of this mystery book in just two sentences? 	 이 추리 소설의 줄거리를 딱 두 문장으로 요약해 줄 수 있어?
56	It smells so delicious in here; what are you baking in the oven? 	 여기 맛있는 냄새가 솔솔 나는데, 오븐에서 뭘 굽고 있는 거야?
57	Please remember to put your dirty dishes into the kitchen sink. 	 다 먹은 그릇은 싱크대에 갖다 놓는 거 잊지 마.
58	Let's organize our study desk neatly so we have plenty of working space. 	 공부 공간을 넓게 쓸 수 있도록 책상을 깔끔하게 정리하자.
59	I am going to buy a colorful phone case at the accessory shop. 	 액세서리 가게에서 알록달록한 휴대전화 케이스를 살 거야.
60	Can you recommend an easy and delicious breakfast recipe using eggs and toast? 	 달걀과 토스트로 만들 수 있는 쉽고 맛있는 아침 식사 요리법 추천해 줄래?
61	Could you tell me where the nearest recycling collection point is located? 	 가장 가까운 재활용품 수거 장소가 어디에 있는지 알려주실 수 있나요?
62	I was so pleased to receive positive comments on my creative drawing portfolio. 	 창의적인 그림 포트폴리오에 대해 좋은 평가를 받아서 정말 기뻤어.
63	I tried to explain my opinion clearly without interrupting my friend's sentence. 	 친구 말을 끊지 않고 내 의견을 명확하게 설명하려고 노력했어.
64	The old clock tower in the town square strikes every single hour. 	 마을 광장에 있는 낡은 시계탑은 매 정각마다 종을 쳐.
65	Let's review the new vocabulary words by creating interesting practice dialogues. 	 흥미로운 연습 대화를 만들어보면서 새로운 어휘 단어들을 복습하자.
66	We watched a fascinating documentary about marine life in the deep ocean. 	 우리는 심해의 해양 생물에 관한 흥미진진한 다큐멘터리를 시청했어.
67	Can you show me how to adjust the strap on this safety helmet? 	 이 안전 헬멧 끈 조절하는 법 좀 보여줄래?
68	Which ice cream flavor do you recommend at this shop? 	 이 가게에서 어떤 아이스크림 맛을 추천해?
69	I'm really looking forward to our family trip this summer. 	 이번 여름 우리 가족 여행이 정말 기대돼.
70	Let's make a nutritious fruit smoothie with fresh bananas and frozen berries. 	 신선한 바나나와 냉동 베리로 영양 가득한 과일 스무디를 만들어보자.
71	We discovered an interesting documentary about volcano eruptions around the world. 	 우리는 전 세계의 화산 폭발에 관한 흥미로운 다큐멘터리를 발견했어.
72	I decided to reduce my daily screen time and spend more time outdoors. 	 전자기기 화면 보는 시간을 줄이고 야외에서 더 많은 시간을 보내기로 결심했어.
73	Could you pass me that wooden ruler so I can draw a straight baseline? 	 반듯한 기준선을 그릴 수 있게 저 나무 자 좀 건네줄래?
74	It is polite to wait quietly until the speaker finishes talking in a discussion. 	 토론할 때 발표자가 말을 마칠 때까지 조용히 기다리는 것은 예의야.
75	I tried to write each sentence carefully to make my handwriting look neat. 	 글씨체를 단정하게 보이게 하려고 문장 하나하나를 정성껏 썼어.
76	Could you show me how to organize these digital files into labeled folders? 	 이 디지털 파일들을 이름이 붙은 폴더별로 정리하는 법 좀 보여줄래?
77	It is polite to listen quietly while someone else is speaking in the classroom. 	 교실에서 다른 사람이 말하고 있을 때는 조용히 경청하는 것이 예의야.
78	I need to change into comfortable clothes before we start playing. 	 우리 놀기 시작하기 전에 편한 옷으로 갈아입어야 해.
79	Let's try making homemade lemonade with fresh lemons and honey. 	 생레몬이랑 꿀로 집에서 직접 레모네이드를 만들어보자.
80	It is crucial to stay hydrated by drinking water during outdoor activities. 	 야외 활동을 하는 동안 물을 마셔 수분을 유지하는 것은 대단히 중요해.
81	Please double-check if you have placed all necessary documents inside your folder. 	 필요한 모든 서류를 서류철 안에 넣었는지 다시 한번 확인해 줘.
82	I accidentally spilled vegetable soup on my favorite white cotton shirt. 	 내가 가장 아끼는 흰색 면 셔츠에 실수로 야채수프를 쏟았어.
83	Where did you buy that cool glowing keychain on your backpack? 	 가방에 달린 멋진 야광 열쇠고리 어디서 샀어?
84	You should always wash raw fruits thoroughly under running water before eating. 	 생과일을 먹기 전에는 항상 흐르는 물에 깨끗이 씻어야 해.
85	Can you describe your favorite outdoor activity and explain why you enjoy it? 	 가장 좋아하는 야외 활동이 무엇인지 묘사하고 왜 그것을 즐기는지 설명해 줄 수 있어?
86	The government announced new policies to prevent severe air pollution in cities. 	 정부는 도시의 심각한 공기 오염을 예방하기 위한 새로운 정책을 발표했어.
87	I like reading comic books on the sofa on lazy weekend afternoons. 	 나른한 주말 오후에 소파에서 만화책 읽는 것을 좋아해.
88	Let's find out what time the local bakery opens on weekends. 	 동네 빵집이 주말에 몇 시에 여는지 확인해 보자.
89	Don't forget to set an alarm so that we can wake up early for the sunrise. 	 일출을 보기 위해 일찍 일어날 수 있도록 알람 맞추는 것을 잊지 마.
90	Let's take a family photograph to remember this special anniversary. 	 이 특별한 기념일을 기억하기 위해 가족사진을 찍자.
91	We should take lots of pictures while we are at the amusement park. 	 놀이공원에 있는 동안 사진 많이 찍어야 해.
92	I am curious to know how ancient people made paper without modern machines. 	 현대식 기계 없이 고대인들이 종이를 어떻게 만들었는지 정말 궁금해.
93	Let's go to the movie theater and watch the new superhero movie. 	 영화관 가서 새로 나온 슈퍼히어로 영화 보자.
94	I was thrilled to receive a positive comment on my creative writing assignment. 	 창작 글쓰기 과제에서 긍정적인 평가를 받아서 기분이 정말 좋았어.
95	We should protect the environment by reducing single-use plastic waste every day. 	 매일 일회용 플라스틱 쓰레기를 줄임으로써 환경을 보호해야 해.
96	I usually spend twenty minutes stretching my muscles before doing gymnastics. 	 나는 체조를 하기 전에 보통 20분 동안 근육 스트레칭을 해.
97	Let's make pancakes together for Sunday breakfast. 	 일요일 아침으로 팬케이크 같이 만들어 먹자.
98	It is wonderful to take a quiet walk through the pine forest after the rain. 	 비가 온 뒤 소나무 숲길을 따라 조용히 산책하는 것은 정말 상쾌해.
99	I always put on my helmet and knee pads before riding my scooter. 	 나는 킥보드를 타기 전에 항상 헬멧과 무릎 보호대를 착용해.
100	Let's prepare a simple snack with sliced cucumbers and cheddar cheese slices. 	 얇게 썬 오이와 체더치즈 조각으로 간단한 간식을 준비하자.
101	I like listening to upbeat music when I clean my room. 	 방 청소할 때 신나는 음악 듣는 걸 좋아해.
102	We watched a documentary about how marine biologists protect coral reefs. 	 해양 생물학자들이 산호초를 어떻게 보호하는지에 관한 다큐멘터리를 보았어.
103	Let's practice deep breathing techniques to stay calm before the big test. 	 큰 시험을 앞두고 마음을 진정시키기 위해 심호흡 기술을 연습하자.
104	Let's go to the supermarket and buy ingredients for tonight's curry. 	 오늘 저녁 카레에 넣을 재료 사러 마트에 가자.
105	Let's bake some homemade chocolate chip cookies this afternoon. 	 오늘 오후에 집에서 초코칩 쿠키를 구워보자.
106	Don't leave your wet umbrella on the wooden floor because it might damage it. 	 나무 바닥이 상할 수 있으니 젖은 우산을 바닥에 두지 마.
107	Can you show me how to calculate the perimeter of an irregular polygon? 	 불규칙한 다각형의 둘레를 어떻게 계산하는지 보여줄 수 있어?
108	Please describe your hometown in detail using three descriptive sentences. 	 세 개의 서술형 문장으로 네 고향에 대해 자세히 묘사해 줘.
109	How much does this box of chocolate cookies cost? 	 이 초콜릿 쿠키 한 상자에 얼마예요?
110	I always wear safety goggles when conducting science experiments in the lab. 	 실험실에서 과학 실험을 할 때는 항상 보안경을 착용해.
111	Please pay close attention to the traffic signals before crossing the intersection. 	 교차로를 건너기 전에 교통 신호에 각별히 주의를 기울여 줘.
112	Can you recommend a simple science experiment that we can try in the kitchen? 	 주방에서 간단히 해볼 수 있는 과학 실험 하나 추천해 줄래?
113	Can you show me the most convenient route to get to the art gallery? 	 미술관으로 가는 가장 편리한 경로를 알려줄 수 있어?
114	Let's brainstorm several creative ideas for our team presentation tomorrow. 	 내일 있을 조별 발표를 위해 몇 가지 창의적인 아이디어를 함께 모아보자.
115	I have a habit of making my bed right after I get up. 	 나는 아침에 일어나자마자 침대를 정돈하는 습관이 있어.
116	You should always apologize sincerely whenever you hurt someone by mistake. 	 실수로 누군가를 다치게 하거나 기분 상하게 했을 때는 항상 진심으로 사과해야 해.
117	Can you help me tie a sturdy knot to secure this camping tent? 	 이 캠핑 텐트를 단단히 고정할 수 있게 매듭 묶는 것 좀 도와줄래?
118	We learned that the sun provides essential light and warmth for all living things. 	 우리는 태양이 모든 생명체에게 필수적인 빛과 온기를 제공한다는 것을 배웠어.
119	Let's sit near the window so we can watch the rain fall outside. 	 창가 쪽에 앉아서 밖에 비 내리는 거 구경하자.
120	Let's make a playlist of our favorite songs for the road trip. 	 여행 갈 때 들을 우리가 좋아하는 노래 목록을 만들자.
121	Can you help me sort out these storybooks by genre and publication date? 	 이 이야기책들을 장르와 출판일별로 분류하는 것 좀 도와줄래?
122	Could you lower the blinds because the sunlight is too bright? 	 햇빛이 너무 눈부신데 블라인드 좀 내려줄래?
123	It is polite to hold the elevator door open when someone is approaching. 	 누군가 다가오고 있을 때 엘리베이터 문을 잡아주는 것은 예의 있는 행동이야.
124	Can you explain the difference between a solar eclipse and a lunar eclipse? 	 일식과 월식의 차이점을 설명해 줄 수 있어?
125	I spent the whole morning organizing my comic book collection. 	 오전 내내 만화책 모아둔 것들을 정리하며 보냈어.
126	Let's look up the weather forecast for this weekend before making plans. 	 계획을 세우기 전에 이번 주말 일기예보를 찾아보자.
127	I discovered an interesting fact about space while reading an encyclopedia. 	 백과사전을 읽다가 우주에 관한 흥미로운 사실 하나를 발견했어.
128	Let's take a five-minute break to stretch our legs and drink some water. 	 다리 스트레칭도 하고 물도 마실 겸 5분 동안 쉬자.
129	Can you help me sort these clean clothes into the proper drawers? 	 이 깨끗한 옷들을 알맞은 서랍에 정리하는 것 좀 도와줄래?
130	We must follow traffic rules strictly to ensure everyone stays completely safe. 	 모두의 안전을 지키기 위해 우리는 교통 법규를 엄격히 따라야 해.
131	We should pack some reusable water bottles instead of disposable plastic ones. 	 일회용 플라스틱병 대신 재사용 가능한 물병을 챙겨야 해.
132	We should save electricity by turning off appliances that are not in use. 	 사용하지 않는 가전제품의 전원을 꺼서 전기를 절약해야 해.
133	I always try to keep my workspace neat so I can concentrate on my projects. 	 과제에 온전히 집중할 수 있도록 내 작업 공간을 항상 깔끔하게 유지하려고 해.
134	We decided to prepare a healthy breakfast with oatmeal, fresh bananas, and walnuts. 	 우리는 오트밀, 신선한 바나나, 호두로 건강한 아침 식사를 준비하기로 했어.
135	I'm going to help set the dinner table with plates and spoons. 	 접시랑 숟가락을 놓으며 저녁 식탁 차리는 걸 도울게.
136	Could you help me organize these art supplies into their proper storage bins? 	 이 미술 준비물들을 알맞은 수납함에 정리하는 것 좀 도와줄래?
137	It is essential to wear a helmet to protect your head while riding a bicycle. 	 자전거를 탈 때는 머리를 보호하기 위해 헬멧을 착용하는 것이 필수적이야.
138	You should wash your hands thoroughly after playing in the dirt or sand. 	 흙이나 모래에서 놀고 난 후에는 반드시 손을 깨끗이 씻어야 해.
139	My phone screen is smudged, so I need to wipe it with a soft cloth. 	 스마트폰 화면에 지문이 많이 묻어서 부드러운 천으로 닦아야겠어.
140	You should dry your hands thoroughly with a clean towel after washing. 	 손을 씻은 후에는 깨끗한 수건으로 물기를 완전히 말려야 해.
141	My cat loves sleeping on the soft cushion near the window. 	 우리 고양이는 창문 옆 푹신한 쿠션 위에서 자는 걸 좋아해.
142	Let's grab some bite-sized snacks before we start watching the movie. 	 영화 보기 시작하기 전에 한입 크기 간식을 좀 챙기자.
143	Let's take a break and drink a glass of fresh orange juice on the terrace. 	 테라스에서 시원한 오렌지 주스 한 잔 마시며 잠깐 쉬자.
144	We observed the moon through a telescope and clearly saw its rocky craters. 	 망원경으로 달을 관찰하면서 울퉁불퉁한 분화구들을 선명하게 보았어.
145	Can you hold my jacket for a second while I tie my hair? 	 머리 묶는 동안 내 겉옷 잠깐만 들고 있어 줄래?
146	Let's prepare fresh fruit bowls with sliced kiwi, strawberries, and blueberries. 	 썬 키위, 딸기, 블루베리를 담은 신선한 과일 볼을 준비하자.
147	I accidentally stepped in a muddy puddle on the sidewalk. 	 보도블록에 있던 흙탕물 웅덩이를 실수로 밟았어.
148	Don't touch the electric iron while it is plugged in and heating up. 	 전원이 연결되어 달궈지고 있는 동안에는 다리미를 만지지 마.
149	Let's work together to assemble this miniature wooden bridge kit. 	 이 미니어처 나무 다리 조립 키트를 함께 완성해 보자.
150	You should wash your hands thoroughly after handling any stray animals. 	 유기 동물을 만진 후에는 반드시 손을 깨끗이 씻어야 해.
151	We decided to organize our bookshelf alphabetically according to author names. 	 우리는 책장을 작가 이름의 가나다순으로 정리하기로 했어.
152	I need to charge my portable gaming console before we leave. 	 우리 출발하기 전에 휴대용 게임기 충전해야 해.
153	Could you pass me that pair of scissors with the rounded safety tips? 	 끝이 둥근 안전 가위 좀 건네줄 수 있어?
154	It is essential to wear comfortable walking shoes when going on a long hike. 	 긴 등산을 갈 때는 발이 편한 보행화를 신는 것이 필수적이야.
155	We learned about the water cycle and how clouds produce natural rainfall. 	 우리는 물의 순환 과정과 구름이 자연 강우를 만들어내는 원리에 대해 배웠어.
156	Let's bake some delicious oatmeal raisin cookies together this weekend. 	 이번 주말에 맛있는 오트밀 건포도 쿠키를 함께 구워보자.
157	Could you teach me how to calculate the perimeter of a rectangle? 	 직사각형의 둘레를 구하는 방법을 알려줄 수 있어?
158	I accidentally spilled a little bit of cereal on the kitchen counter. 	 싱크대 조리대에 시리얼을 조금 쏟아버렸어.
159	Could you pass me that roll of sticky tape on the corner of the table? 	 탁자 구석에 있는 접착테이프 좀 건네줄 수 있어?
160	I received an invitation card to my cousin's birthday celebration next Saturday. 	 다음 주 토요일에 열리는 사촌의 생일 축하 파티 초대장을 받았어.
161	I feel energized and ready to start the day after a nutritious breakfast. 	 영양가 있는 아침 식사를 하고 나니 활력이 넘치고 하루를 시작할 준비가 되었어.
162	We observed different types of rocks and minerals in the geology laboratory. 	 우리는 지질학 실험실에서 여러 가지 종류의 암석과 광물을 관찰했어.
163	I prefer drinking warm milk with honey when I have a sore throat. 	 목이 아플 때는 꿀을 탄 따뜻한 우유를 마시는 걸 선호해.
164	I felt so proud of myself after finishing the ten-kilometer bicycle race. 	 10킬로미터 자전거 경주를 완주하고 나니 내 자신이 정말 자랑스러웠어.
165	I usually help carry the empty plates to the kitchen sink after dinner. 	 나는 저녁 식사 후 빈 그릇들을 싱크대로 옮기는 것을 보통 도와드려.
166	It is important to encourage your teammates even when they make silly mistakes. 	 팀원이 사소한 실수를 하더라도 서로 격려해 주는 것이 중요해.
167	We should protect our eyes by wearing sunglasses in bright sunny weather. 	 햇볕이 강한 날씨에는 선글라스를 착용하여 눈을 보호해야 해.
168	I like to listen to nature sounds when I want to fall asleep quickly. 	 빨리 잠들고 싶을 때는 자연의 소리를 듣는 걸 좋아해.
169	Can you hold this grocery bag while I look for my apartment key? 	 아파트 열쇠 찾는 동안 이 장바구니 좀 들고 있어 줄래?
170	I always check if all the gas burners are completely turned off before leaving. 	 나가기 전에 항상 모든 가스레인지 불이 완전히 꺼졌는지 확인해.
171	You should apologize sincerely if you hurt your friend's feelings by accident. 	 실수로 친구의 기분을 상하게 했다면 진심으로 사과해야 해.
172	I always put on lip balm when my lips feel dry and chapped. 	 입술이 건조하고 틀 때면 항상 립밤을 발라.
173	We worked collaboratively to build a miniature bridge out of wooden sticks. 	 우리는 나무 막대로 미니어처 다리를 만들기 위해 협동하여 작업했어.
174	I'm trying to decide between the blue shirt and the green one. 	 파란색 셔츠랑 초록색 셔츠 중에 고민하고 있어.
175	I learned that regular stretching improves flexibility and prevents physical injury. 	 규칙적인 스트레칭이 유연성을 길러주고 부상을 예방한다는 것을 배웠어.
176	We should pack some sandwiches and apple slices for our picnic. 	 소풍 갈 때 먹을 샌드위치랑 썰어둔 사과를 좀 챙겨야겠어.
177	We should support local farmers by buying freshly harvested seasonal fruits. 	 갓 수확한 제철 과일을 구매함으로써 지역 농부들을 도와야 해.
178	We must respect people with different cultural backgrounds and perspectives. 	 우리는 다양한 문화적 배경과 관점을 가진 사람들을 존중해야 해.
179	I always carry an extra pencil and an eraser in my small stationery pouch. 	 나는 항상 작은 필통에 여분의 연필과 지우개를 챙겨 다녀.
180	I am eager to improve my swimming skills during the upcoming summer vacation. 	 이번 여름방학 동안 수영 실력을 꼭 향상시키고 싶어.
181	Let's clean out the refrigerator and throw away any expired food products. 	 냉장고를 정리하고 유통기한이 지난 음식물들을 버리자.
182	Let's make sure our shoelaces are firmly double-knotted before starting the relay race. 	 이어달리기 경주를 시작하기 전에 신발 끈을 두 번 단단히 묶었는지 확인하자.
183	Let's share a large tub of butter popcorn during the movie. 	 영화 보는 동안 대용량 버터 팝콘 한 통 같이 나눠 먹자.
184	Let's check out the new comic books that arrived at the local bookstore. 	 동네 서점에 새로 들어온 만화책들 구경하러 가자.
185	Do you prefer eating sweet snacks or salty snacks? 	 달콤한 간식을 더 좋아해, 짭짤한 간식을 더 좋아해?
186	We decided to collect old storybooks and donate them to the community center. 	 우리는 헌 동화책들을 모아서 주민센터에 기부하기로 결정했어.
187	Can you help me carry this heavy cardboard carton to the storage cupboard? 	 이 무거운 종이 상자를 수납 창고로 옮기는 것 좀 도와줄래?
188	We ran out of milk, so we need to buy some at the supermarket. 	 우유가 다 떨어져서 마트에서 좀 사 와야 해.
189	I love walking in the autumn breeze when the leaves change colors. 	 나뭇잎 색이 변할 때 가을바람 맞으며 걷는 걸 좋아해.
190	I was thrilled to receive a positive remark on my creative science model. 	 내가 만든 창의적인 과학 모형에 대해 긍정적인 평가를 받아서 정말 기뻤어.
191	You should always apologize sincerely when you hurt someone's feelings by accident. 	 실수로 다른 사람의 기분을 상하게 했을 때는 항상 진심으로 사과해야 해.
192	I always wash my face and brush my teeth right after waking up. 	 나는 아침에 일어나자마자 항상 세수를 하고 이를 닦아.
193	Please remember to lower your voice when studying inside the reading room. 	 열람실 안에서 공부할 때는 목소리를 낮춰야 한다는 점을 꼭 기억해.
194	I'm going to practice my drum beats for thirty minutes today. 	 오늘 30분 동안 드럼 박자 연습을 할 거야.
195	I am curious to learn how electric cars convert battery power into motion. 	 전기차가 배터리 전력을 어떻게 운동 에너지로 변환하는지 정말 궁금해.
196	Let's take a short break to rest our eyes after staring at the screen for an hour. 	 한 시간 동안 화면을 본 후에는 눈을 쉬게 하기 위해 잠깐 휴식을 취하자.
197	Can you describe the appearance of the missing pet dog to the security guard? 	 경비원 아저씨께 잃어버린 반려견의 생김새를 설명해 줄 수 있어?
198	It takes a lot of regular practice and patience to master a musical instrument. 	 악기를 완벽히 다루기 위해서는 많은 규칙적인 연습과 인내심이 필요해.
199	Let's calculate the total cost of the groceries before approaching the cashier. 	 계산대로 가기 전에 식료품의 총비용을 먼저 계산해 보자.
200	Let's bake some blueberry muffins together this Saturday morning. 	 이번 토요일 아침에 블루베리 머핀 같이 구워보자.
201	Let's prepare a simple fruit salad using freshly sliced apples and grapes. 	 갓 썬 사과와 청포도로 간단한 과일 샐러드를 만들어보자.
202	Always remember to unplug unused electrical chargers to save energy. 	 에너지를 절약하기 위해 사용하지 않는 전기 충전기는 항상 플러그를 뽑아 둬.
203	We must strictly follow all laboratory safety guidelines to avoid accidents. 	 사고를 방지하기 위해 우리는 모든 실험실 안전 수칙을 엄격히 따라야 해.
204	Please make sure all the windows are closed before leaving the house. 	 집을 나서기 전에 모든 창문이 닫혔는지 꼭 확인해 줘.
205	I want to try that new strawberry smoothie at the bakery. 	 베이커리에서 새로 나온 딸기 스무디 한번 마셔보고 싶어.
206	I'm going to take the dog for a walk around the neighborhood. 	 동네 한 바퀴 돌며 강아지 산책시키고 올게.
207	Let's practice passing the ball back and forth before the football game begins. 	 축구 경기가 시작되기 전에 공을 주고받는 패스 연습을 하자.
208	Let's make a plan for all the fun activities we want to do tomorrow. 	 내일 하고 싶은 재미있는 활동들에 대해 계획을 세워보자.
209	We made a refreshing citrus drink by squeezing fresh lemons and limes. 	 우리는 생레몬과 라임을 직접 짜서 상큼한 감귤 음료를 만들었어.
210	The local government decided to build a modern playground for young children. 	 지방 정부는 어린아이들을 위해 현대식 놀이터를 짓기로 결정했어.
211	The local library provides a comfortable study environment with free internet access. 	 지역 도서관은 무료 인터넷을 갖춘 쾌적한 학습 환경을 제공해.
212	I spilled some juice on the rug, so I need a paper towel. 	 카펫에 주스를 좀 쏟아서 키친타월이 필요해.
213	Let's make a handmade birthday card with colorful markers and stickers. 	 알록달록한 사인펜과 스티커로 직접 손수 만든 생일 카드를 만들자.
214	I was surprised to discover how fast bamboo plants can grow each day. 	 대나무가 하루에 얼마나 빨리 자랄 수 있는지 알고 나서 깜짝 놀랐어.
215	I'm going to wash my sneakers because they got dirty at the park. 	 공원에서 더러워진 운동화를 빨려고 해.
216	It is polite to say excuse me when passing through a crowded hallway. 	 혼잡한 복도를 지나갈 때는 '실례합니다'라고 말하는 것이 예의야.
217	I decided to write in my daily journal for ten minutes every evening. 	 매일 저녁 10분 동안 일기를 쓰기로 결심했어.
218	The science instructor demonstrated how vinegar reacts with baking soda. 	 과학 선생님께서 식초가 베이킹소다와 어떻게 반응하는지 시연해 주셨어.
